Order Priority,Discount offered,Unit Price,Freight Expenses,Freight Mode,Segment,Product Type,Product Sub-Category,Product Container,State,City,Region,Country,Order Date,Ship Date,Profit,QtyOrdered,Sales
High,0.06,40.98,2.99,Regular Air,Personel Usage,Processed Meat,Bacon,Small Box,Madhya Pradesh,Rewa,West,India,02-01-2010,04-01-2010,-19.0992,3,124.81
High,0.05,155.06,7.07,Regular Air,Hotels / Hospitals,Processed Meat,Fresh Water Eel,Small Box,Meghalaya,Shillong,East,India,02-01-2010,09-01-2010,845.664,8,1225.6
High,0.09,9.11,2.15,Express Air,Personel Usage,Processed Meat,Smoked Salmon,Wrap Bag,Maharashtra,Parbhani,West,India,02-01-2010,04-01-2010,20.2996,4,34.41
High,0.08,15.04,1.97,Regular Air,Personel Usage,Processed Meat,Smoked Salmon,Wrap Bag,Maharashtra,Parbhani,West,India,02-01-2010,02-01-2010,108.5163,11,157.27
High,0.03,4.26,1.2,Regular Air,Restaurant Chain,Processed Meat,Foie Gras,Wrap Bag,Uttar Pradesh,Ghaziabad,North,India,03-01-2010,04-01-2010,9.82,29,122.23
High,0.03,4.26,1.2,Regular Air,Restaurant Chain,Processed Meat,Foie Gras,Wrap Bag,Kerala,Pathanamthitta,South,India,03-01-2010,04-01-2010,18.658,7,29.5
Low,0.08,43.22,16.71,Regular Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Box,Andhra Pradesh,Vizianagaram,South,India,03-01-2010,05-01-2010,280.27458,3,130.62
Low,0.05,574.74,24.49,Regular Air,Hotels / Hospitals,Canned Foods,Sliced Pineapple,Large Box,Andhra Pradesh,Vizianagaram,South,India,03-01-2010,10-01-2010,-112.4263,12,6945.16
High,0.04,10.14,2.27,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Wrap Bag,Andhra Pradesh,Vizianagaram,South,India,03-01-2010,07-01-2010,24.924,3,30.94
Not Specified,0.0001,213.45,14.7,Delivery Truck,Hotels / Hospitals,Canned Foods,Sliced Pineapple,Jumbo Drum,Madhya Pradesh,Dewas,West,India,03-01-2010,05-01-2010,-560.81418,1,224.12
High,0.09,5.98,4.69,Regular Air,Hotels / Hospitals,Processed Meat,Fresh Water Eel,Small Box,Punjab,Hoshiarpur,West,India,05-01-2010,06-01-2010,-781.1342,11,65.85
Not Specified,0.01,150.98,30,Delivery Truck,Personel Usage,Preserved Food,Sundried Tomatoes,Jumbo Drum,Jharkhand,Giridih,North,India,06-01-2010,08-01-2010,131.382,6,958.46
High,0.01,28.28,13.99,Express Air,Personel Usage,Processed Meat,Fresh Water Eel,Medium Box,Jharkhand,Giridih,North,India,06-01-2010,08-01-2010,-89.292,12,368.84
Not Specified,0.03,35.99,1.1,Regular Air,Personel Usage,Canned Foods,Quail Eggs,Small Box,Jharkhand,Giridih,North,India,06-01-2010,07-01-2010,-211.036,1,30.86
Not Specified,0.06,1.7,1.99,Regular Air,Personel Usage,Canned Foods,Assorted Fruits,Small Pack,Jammu And Kashmir,Jammu,North,India,06-01-2010,07-01-2010,80.0712,7,12.15
